name,suburb,category,description,address
Subway Canberra House,Canberra,Food and drinks,We are a localy owned Subway store which located at ground floor of Canberra House buliding,"Canberra House Arcade, SUBWAY G5, 40 Marcus Clarke St"
Merlin Mosaica,Calwell,Retail,"Supplier of glass, tools and supplies for the Australian Mosaic artist.

Stunning stained glass & mirror sheets, an unusual range of glass tiles & beads, and amazing ergonomic tools. If you’re hunting for something a bit special – just ask and we’ll try to find it.

ABSOLUTELY AUSTRALIAN, DEFINITELY DIFFERENT
",12/92 Casey Crescent
Caffe Cherry Bean Majura Park,Majura,Food and drinks,"Provide every customer with fresh, flavorsome coffee and coffee blends

Offer exceptional service to create a warm, welcoming café experience

Spread our love of quality coffee across the nation",Shop 15 18-26 Spitfire Avenue
5 Senses Gourmet Cafe,Tuggeranong,Food and drinks,"Welcome to cafe dining with good, wholesome food, friendly staff and a comfortable atmosphere.
All food prepared on site from using fresh ingredients, cooked to your liking.
We also do take away or Menulog, UberEats, Deliveroo and DoorDash.
","Shop K20, South.Point Shopping Centre"
106 Hotpot,Canberra,Food and drinks,"The 1st and only small hot pot with more than 12 different base soup choices, including Thai, Japanese, Chinese and other Asian style flavors. Warm your body, amaze your tongue. Now $25 combo is available.",106 Alinga St.
HANGARI KIMCHI,Dickson,Food and drinks,Korean BBQ Restaurant,Unit 5/55 Woolley St
Spring garden chinese restaurant,Kambah,Food and drinks,Spring Garden Chinese Restaurant has been providing Kambah diners with affordable and delicious Chinese food for the past 10 years.,Unit 1 Primmer court
Typica Cafe Manuka,Griffith,Food and drinks,"Typica Manuka was the location of the first cafe of ‘ONA Coffee’, the
beloved specialty local coffee company, located in the heart of Manuka in the inner south of Canberra, Typica offers speciality coffee and high quality cafe food in a peaceful and friendly setting.","Shop 4, The Lawns, 4 Palmerston Lane"
Quintessence Nail & Beauty,Page,Personal care,Quintessence prides itself on providing a luxuriously presented and inviting environment for you to escape the stress of the outside world. Our salon is extremely hygienic and meticulously clean for your peace of mind. The comfort of our clients is of upmost importance to us.,"2/9, Page Place, Page"
Intersport Fyshwick,Fyshwick,Retail,"Intersport Fyshwick is locally owned store servicing CBR and surrounds since 1983. It is one of the largest sports store in CBR and actively supports many local sporting clubs and associations. We have a great collection of sporting, fitness and family fun related products from the best brands.",20 Whyalla Street
TV AND V NAILS PTY LTD,Woden,Personal care,"Our wide range of services promises you an unforgettable nail care experience at our spa! Our menu includes services from acrylic nails, manicures, and pedicures to waxing, dipping powder, and eyelash extensions! Warm and friendly technicians!!!","SHOP LM1 SHOP WESTFIELD WODEN KELTIE ST,"
Supreme Massage,Greenway,Personal care,"Remedial Massage,Cupping,Foot Reflexology",210 Anketell Street
Happys Chinese restaurant,Canberra,Food and drinks,Happys Chinese has been family owned since 1962. The first Chinese Restaurant in Canberra.,17 Garema place
Master Hin Dumplings,Belconnen,Food and drinks,"SPECIALTY DUMPLINGS, BIG TASTE",Shop 311 Westfield Belconnen
Flavours of Jiangnan,Dickson,Food and drinks,"We are a family owned restaurant, which specialises in Jiangnan Flavour Cuisine. Jiangnan is at the eastern part of China and it includes Suzhou, Hangzhou and Shanghai area. We focus on refresh ingredients, flavours and textures of each dish that we cook. Handmade noodles & dumplings are popular.",G6/8 Cape Street
Wokitup Belconnen,Belconnen,Food and drinks,"Get a variety of of delicious noodles, soups and rice dishes from local gem Wok It Up!

Whether you choose one of our chef suggestions or build your own box from scratch, the choise is all yours!",6/102 Emu Bank
Noodle Castle,Banks,Food and drinks,"Chinese Takeaway shop in Banks.
Can dine in or takeaway!
",96 Pocket Avenue
Higher Function Physio & Pilates,Canberra,Personal care,"We support Canberrans with our expertise in Physiotherapy & Exercise Physiology to do more of what they love, without pain. We offer Clinical Exercise classes (Matwork & Reformer) as well as specialised classes tailored for osteoporosis, Strength for Life (COTA) and GLA:D.","23 Petrie Plaza, Suite 4, Level 1"
Gungahlin Centre News,Gungahlin,Retail,"newsagency sells newspapers, magazines,lotteries, snacks and greeting cards and giftware.","shop 16 Gungahlin Market Place, 33 Hibberson street"
Canberra Wide Aptments P/L ATF Canberra Wide Apartments Trust,City,Accommodation,"Executive apartments in middle of Canberra CBD. Stroll to the extraordinary selection of eateries. We have 10 different sites from New Acton to City Walk to Lonsdale St, availability depending on exec bookings. Car park avail but you can experience city living without it. Fast WiFi",3/1 The Mews
Spar Express N gunnawal,Ngunnawal,Retail,Spar Express Ngunnawal located in the Ngunnawal Local Centre,Shop 1 Ngunnawal Local Centre Cnr Jabbanugga and Wanganeen Aves
Farmshop Cafe,Pialligo,Food and drinks,"Join us at the Farm Shop Café for breakfast, brunch and lunch from 8.30am - 3pm Wednesday to Sunday for beautiful, seasonal menus.
Our Café stocks a broad range of our award-winning Pialligo Estate Smokehouse products, plus cheeses, sweet treats, snacks, wine and more.",12 Beltana Road
To All My Friends,Cook,Food and drinks,"Craft Beer & Pizza!

Family Friendly!!

Arguably the best tap list, most delicious pizza and friendliest staff in all the ACT!!!",24 Cook Place
Folks Gallery,Dickson,Food and drinks,"The café will serve gourmet coffees, espresso and drip coffee, lattes, and smoothies. The simple pastry offerings may vary with seasonality but the primary line will be muffins, breads, cookies, scones, and rolls. All pastries will be supplied daily by a local bakery.","Ground Floor, 239/6 Cape Street"
Meating room,Weston Creek,Food and drinks,"Casual dining cafe, bar and grill",45b liardet at Weston
brazilian butterfly,Canberra,Personal care,"Your total body care experts.
From specialty waxing, IPL hair removal, brow lamination, lash lifting and beauty services.",21 garema place
CRAFT ACT: CRAFT AND DESIGN CENTRE,Canberra,Retail,"Craft ACT: Craft and Design Centre is a not-for-profit membership based organisation which supports artists, craft practitioners, designers and makers at every stage of their careers. Celebrating excellence and innovation in contemporary craft, through our our retail space and exhibition program.",180 London Cct
Marilyn on Kennedy,Kingston,Retail,"Vintage Designer Boutique
Supporting Women of Domestic, Family & Sexual Violence.",39 Kennedy St
7FA EVENTS,Dickson,Things to do,"We are the media team of 7FA.EVENTS, providing private customized shooting services, including business, personal, family, parties, and events. In addition, we are a team composed of members with multilingual and multicultural backgrounds, hoping to bring more value to our customers.",21 Challis st
BiangBiang noodles CBD,City,Food and drinks,"Chinese Noodle restaurant with fresh hand-made BiangBiang noodles.
Chewy noodles topped with pork, beef and a considerable amount of chilli.
",148 bunda
Launch Pad Pty Ltd,Forde,Things to do,"Coding & Robotics for Kids and Teens
Our coding and robotics programs are delivered in a fun, engaging and educational manner where students explore, build and create age appropriate programs. Classes are offered after school, on weekends and during school holidays.","5, Ridding Street"
Needs & Wishes,Braddon,Retail,Needs & Wishes is a Canberra-owned and operated gift shop specialising in fun and funky giftware for any occassion.,64/30 Lonsdale Street
Belco Halal Kebabs and Pizzeria,Belconnen,Food and drinks,Turkish Kebab Shop,Lathlain Street
Soundbox Karaoke & Bar,Dickson,Things to do,Soundbox provides Canberra with the best karaoke to have great fun and sing your heart out! We have a wide range from the old songs to the latest. We are equipped with 8 themed private karaoke rooms for hire where you get table service to party for corporate functions.,"Unit 13, 4-14 Woolley Street"
SWAGAT GROCERS AND CONVENIENCE STORE,Greenway,Food and drinks,"Swagat Grocers & Indian Kitchen is the purveyor of exotic and high quality Indian Foods, spices and condiments. We are complimented by a cozy and inviting restaurant on site.","Shop 2, 310 ANKETELL STREET"
Daily market,Canberra,Retail,"Daily Market is a well set-up mini-market to service domestic and international students and staff at ANU, as well as the surrounding urban centres.","Daily Market KAMBRI，Shop156-B1 Joplin Lane ,Acton, ACT 2601"
Kopiku,O'Connor,Food and drinks,"Indonesian’s cafe in the lovely suburb of O’connor offered range of sweets/cakes, Australian’s modern breakfast, and lunch, Indonesian’s food, lovely coffee. Come in and try our monthly special and some Indonesian’s desserts. Warm atmosphere and friendly services :)",1/5 sargood st
Lanzhou Beef Noodle,Canberra,Food and drinks,"Lanzhou beef noodle has a history of about 200 years. Together with hand-pulled noodle, clear soup and herbs, quality shaved local beef, cilantro and scallion, and deep red chili oil, Lanzhou beef noodle is known as ‘The best noodle in China’ and has been accepted by gastronomes across the world.","Unit 1, 28 University Ave"
Canberra halal market kippax,Holt,Retail,"We selling Halal Meat Goat , Lamb, Beef, chicken and all Indian Pakistani grocery ..",6/116 Hardwick Crescent
Yesmart,Gungahlin,Food and drinks,Asian Supermarket,144/2 Hinder Street
Plastic Creations Pty Ltd,Fyshwick,Retail,"Welcome to Plastic Creations, we are a family business that has been operating since 1995 and we specialise in plastic fabrication, sheet sales, cut to size and profile cutting requirements, vinyl and corflute, plus more. We specialise in providing custom made products.",3/83 Wollongong Street
Yarralumla Gallery and The Oaks Brasserie,Yarralumla,Food and drinks,"Yarralumla Gallery and The Oaks Brasserie is a beautifully located cafe, gallery and function venue.
Enjoy a quick coffee, relaxing lunch or unforgettable event in the heart of Weston Park in the beautiful Heritage Listed English Gardens.
Your four legged friend can even enjoy our canine cuisine!",Cottage 1 Weston Park Road
Amita beauty & hair parlour,Gungahlin,Personal care,"Amita Beauty & Hair Parlour Providing All Types of Beauty Services, Eyebrow Threading, Facial, Manicure/Pedicure, Party Makeup, Hair Cuts/Highlights/Keratin Treatment Many More",373 Gundaroo Dr
White Chaco,Braddon,Food and drinks,"Asian fusion restaurant (Taiwan + Japanese)
Try our bao & fried chicken & ramen
Text to 0401509435 for booking🙏",G10/27 lonsdale st
Baby Su,Canberra,Food and drinks,"Meet the playful and fast-paced sibling to Lazy-Su.
Good things come in small packages.
Bowls, Bao, Burgers, Dumplings, Fried Chicken & More","G25, 40 Marcus Clarke Street"
Palace Electric Cinema,Acton,Food and drinks,Palace Cinemas is the largest independent cinema group in Australia with our Canberra cinema 'Electric' located in Acton. We provide a carefully curated program of the latest quality mainstream and foreign-language films alongside a culturally diverse line-up of international film festivals.,2 Phillip Law Street
Molly,Canberra,Food and drinks,"The journey of finding Molly is half the fun and once you arrive you’ll be treated to Canberra’s most extensive selection of whisky, smooth live jazz plus so much more in an authentic 1920’s speakeasy setting.","Wooden Door, Odgers Lane"
Gungahlin Lakes Golf Pro Shop,Nicholls,Retail,"We have a great pro shop at Gungahlin Lakes that stocks all the major brands and offers a full range of services for our members and visitors.

The pro shop team provide expert advice and knowledge to ensure you have the very best experience in our store.
",Cnr Gungahlin and Gundaroo Drives
Cafe au Lait,Weston,Food and drinks,Cafe serving Ona Coffee and a variety of food and cakes at reasonable prices. We are located on Level 1 (in front of Aldi) Cooleman Court.,Shop 57 26 BRIERLY ST
SUSHI MUSA WODEN,Phillip,Food and drinks,"Sushi Musa is modern, contemporary Japanese restaurants. We strive for the best Japanese experience for customers by providing exceptional customer service, only using the fresh fish of the season, and an extensive a-la-carte menu designed by designed by our head chef.
",Shop R03/9 Bradley St
Via & BC,Fyshwick,Retail,"We offer stylish accessories (including bags, clothes, wigs, earrings...) for both men and women. It's the most unique store you've ever seen in Canberra. Here, you will find everything you need for fashion.","Shop 584, Canberra Outlet Centre, 337 Canberra Ave"
Why Aesthetics,Braddon,Personal care,"Why Aesthetics is a locally own and operated cosmetic injectables business. Catering to the client’s desired result through using a range of therapies including skin care, Skin Pen microneedling, Alocuro PRP (platelet rich plasma) injections, lipodissolve, antiwrinkle and dermal filler injections.
",66/ 10 Lonsdale st
DeWok Noodle Bar,Belconnen,Food and drinks,"Chinese and asian restaurant serving order to cook rice, noodle and soup dishes. Dine in and take away welcome.","Shop 213, Benjamin Way"
Little Garran Cafe,Garran,Food and drinks,"Charming local café with heated and enclosed outdoor area, serving quality coffee, cake and pastries, all day breakfast, light meals and weekly chefs specials. Open Monday to Saturday",shop 2/28 Garran Place
The Street Theatre,Canberra,Things to do,"The Street Theatre is the Canberra region’s leading theatre company, creative producer and go to place for live performance - new theatre, music, and comedy. Located in Canberra’s cultural City West, here you’ll find something for everyone, from renown musicians to never before seen plays.",15 Childers Street
Coffee N Beans,Red Hill,Retail,"Coffee n Beans is located on the ground floor at Red Hill Lookout is a division of Onred.
Not only sharing the same excellent views of Canberra, Coffee n Beans still clearly comes from some of the finest chefs of Canberra serving innovative healthy breakfast .
","50 Redhill Drive, Redhill Lookout"
Cosmo hair and beauty,Dickson,Personal care,Hair and Beauty Salon,4/20 Challis Street
SAARA HOLIDAYS,Scullin,Accommodation,"Saara Holidays is a home based travel agency. Our services include flight ticket, travel insurance, cruise bookings, car hire and specialize in customized packages for Australia & New Zealand. We are IATA accredited and take great pride in providing a good quality service.
",62 ROSS SMITH CRESCENT
The Goods Wholefoods,Canberra,Food and drinks,"Cafe and salad bar, serving fresh and seasonal food and drinks Mon-Fri. Come and see us for delicious breakfast bowls, loaded avo toasts, wholesome make your own salads, delicious coffee and smoothies. We live by GOOD FOOD FOR GOOD LIFE and believe in the power of food to elevate health and mood.","Shop G9, 40 Marcus Clarke Street"
LOST RIVER MEAT,Dickson,Food and drinks,Lost River Meats’s wholesales and retails premium quality meat.,unit 1 5 badham st
Mudd The Spa,Barton,Personal care,"Mudd The Spa is an internationally acclaimed day spa located in Barton offering 5 relaxation suites, including a couples retreat, architecturally designed signature Vichy Shower and relaxation lounge. Mudd offers a full complement of spa services including sauna & steam room. Your sanctuary awaits..",18 National Cct
Beef & Barley,Kingston,Food and drinks,"Located on the Kingston Foreshore, Beef & Barley is famous for its Burger high teas - a decadent three tiered feast. On weekends, it also offers brunch high tea. Burgers, share plates, local beer and wine, and espresso coffee is also on offer. Dietary requirements catered for. Kid and pet friendly!",157/45 Eastlake Pde
Homemakers,Fyshwick,Retail,Quality Home Furniture and Bedding sourced locally and world wide to offer you a variety of products at the best price,shop 17/337 Canberra Ave
Truefitt & Hill,Canberra,Retail,"Established in 1805, Truefitt & Hill St. James’s, London has for over 200 years provided discerning gentlemen with the finest in products and services.

The ‘Oldest Barbershop in the World’ is now in Canberra, its first in Australia, where you can enjoy our full range of services and products.
",4B/21 Genge St
Elemental Cafe,Braddon,Food and drinks,"Elemental Cafe has a unique atmosphere where customers can socialise with each other in a comfortable relaxing environment.
We offer the best food & coffee in Braddon & a loyalty card for the repeat service as well as free daily newspaper to enjoy your visit or use our free ultra-fast Wifi",30 Lonsdale St
Australian Choice,Canberra,Retail,"Australian Choice is a family owned business established in 1989. We sell only Australian made quality gifts and souvenirs from our retail store in the Canberra Centre. Currently we stock a range of more than 4,000 products sourced from artists, designers and manufacturers from all over Australia.",Shop AG12 Ground Floor Canberra Centre 148 Bunda St
Chisholm newsagency and post office,Chisholm,Retail,Chisholm news agency and post office.,Unit 6 / 52 Halley St
Bitten Goodfoods,Braddon,Food and drinks,Bitten Goodfoods is Canberra's largest and most progressive wholefoods venue with a greenery-filled wholefoods supermarket and organic cafe showcasing a mix of concepts from the frontiers of wholefoods in Australia and the world. Bitten is a new generation shopping experience.,"G17, 27 Lonsdale Street"
Die Schlachtschule,Aranda,Things to do,"""Die Schlachtschule"" or ""The School of Battle,"" is a group dedicated to the study and teaching of the martial arts of medieval Europe. We use the surviving medieval fencing manuals, or fechtbücher, to try to learn the ways of combat practiced by medieval knights.
",Aranda Primary School
Limelight Cinemas,Greenway,Things to do,"Refurbished, Reseated and Reimagined. From luxury recliners to comfy glide seats; From casual burgers, pizzas and popcorn to full menu service to your seat. From the latest Blockbusters to live performance and interactive Triva - No Cinema in Canberra does better value or variety.",Shop M506 South.Point Anketell St
Refined Beauty By Janus,Nicholls,Personal care,"At Refined Beauty, your satisfaction is our number one priority. We provide a high quality skin care and massage treatments that are catered specifically to your needs. We are fueled by the desire to have you feeling and looking great. Swing by to start looking and feeling amazing!","Shop 1, 7 O'Hanlon Place"
La Empanada,Gungahlin,Food and drinks,"South American Empanadas made in Canberra since 2016. Plenty of flavours to choose from, including Vegan options. Want something else? We offer all day brekkie and traditional desserts from South America such as Alfajores, Tres Leches, Mil Hojas and more!",109 Hibberson Street
Tasuke,City,Food and drinks,"Tasuke is an authentic Japanese restaurant. We have fantastic ramen and sashimi, and various kinds of small & medium plates such as agedashi tofu, grilled eel/squid...Bento boxes are also available.
Come and try!!! So yummmmmy!!!",122 Alinga Street
National Zoo & Aquarium,Weston Creek,Things to do,"Get up close and personal with some of the world's most amazing creatures at the National Zoo & Aquarium in Canberra.
From lions and tigers to giraffes and penguins and monkeys, the Zoo features a variety of native and exotic animals, as well as the largest inland saltwater tank in Australia.",999 Lady Denman Drive
Hippo co,Canberra,Food and drinks,We're one of Australia's longest operating and most awarded cocktail and live music venues in Canberra. We're all about slingin' good booze to good tunes with good people. We've been home to live jazz for over 20 years. Our music goes live every Wednesday at 8:30pm and we run weekly whisky tastings!,1/17 Garema Place
TREVS @ Dickson,Dickson,Food and drinks,"Trevs @dickson the local gem serving brekky, lunch and dinner and the #trevstastecollective.
",5/20 Challis st
Elegant Image Day Spa Medi Spa,Greenway,Retail,"You can depend on our 30+ Years of experience..

For over 30 years we at Elegant Image have provided advanced skin care to an extensive client base from our Skin Body & Day Spa Centres located in Tuggeranong.
","Shop 14, Four Seasons House, 191 - 203 Anketell St"
Capital Star Nails & Beauty,Griffith,Personal care,"Located @ shop 3 Manuka Village
Specializing in SNS Nails, Acrylic Nails, Manicures, Pedicures & Waxing","Shop 3, 18-26 Furneaux street"
Zambrero Woden,Phillip,Food and drinks,"We are about more than just delicious, Mexican-inspired food made with healthy ingredients. We are a way to feel good inside, by helping in our mission to stop world hunger, one meal at a time.

We are Feel Good Mex.","Unit 72A, Keltie Street"
Izumi,Canberra,Food and drinks,"Japanese / Korean Casual Dining. Take Away Available.
Licensed & BYO (Wine)
Korean Fried Chicken, Bento Boxes, Hot Pots and More.","Shop 9, 34 Marcus Clarke"
H2O MEDI SPA,Kingston,Personal care,"Located in the heart of the Kingston Foreshore is Canberra'smulti-award winning Medi Spa with over 16 years experience in the beauty & wellness industry. Connected Beauty is the catalyst to initiate the cycle of healthier skin, a healthier body and greater well-being.",68/71 Giles Street
Discount grocery store,Phillip,Retail,"We are providing south asian groceries, fresh meat and vegetables.",2/32 dundas ct
Bellchambers Music School,Phillip,Things to do,Bellchambers Music School is Canberra’s oldest music school. We pride ourselves on teaching high quality music lessons to students starting from age 1 all the way to adults. We teach with passion and joy six days a week at our studio in Phillip. Call us to start a wonderful journey with music.,Unit 3 61-63 Colbee Court
Flourish Yoga,Braddon,Personal care,"Flourish Yoga is a small studio in Braddon offering vinyasa (active and flowing) yoga. We aim to make yoga accessible for everyone by adjusting poses to suit your body. We also offer beginners, prenatal and postnatal classes.",62/28 Mort St
My value,Holt,Retail,"Local dollar shop at kippax shopping center,where you can find home wear and party,supplies,gardening, hardware beauty accessories,and stationery, novelty and more.",Shop1 48 Hardwick CRES
Bashan,Canberra,Food and drinks,Chinese Restaurant,"G09, 39 London Circuit"
Ai Buy Market,Canberra,Retail,"Ai Buy Market is a Asian Grocery Store, you can find lots of delicious snacks, drinks, fresh products and seasonings for cooking from Asian, especially from China, Japan, Korean. We also have local snacks, drinks and household prodcuts.",Tenancy 3/53 Alinga Street
Curves Gungahlin,Harrison,Personal care,"At Curves, we're strengthening women inside and out! Our 30 minute workout is specially designed for women and our hydraulic machines combine cardiovascular and strength training. You workout in a safe and supportive environment.",70 Nullarbor Ave
Joy Chestnut,Braddon,Food and drinks,Joy Chestnut focus on roasted chestnuts and related products. Our chestnuts are totally different with other one. Much sweeter and softer. Chestnuts are gluten free and full of nutrition.,16 girrahween st
Asian Savoury,Macquarie,Retail,"Asian Savoury is an online Asian Grocery Store in Canberra that provided home delivery and physical stall @ Trash and Treasure Market in Jamison.
Come and visit us for your Asian Savoury ingredients.",Trash and Treasure @ Jamison Centre
Green Bamboo Vietnamese Restaurant,Mawson,Food and drinks,We are a small Family Restaurant in Swinger Hill shopping centre which is serving Vietnamese authentic food.,14/84 Ainsworth Street
Accelerate Physiotherapy,Garran,Personal care,"Accelerate Physiotherapy is a boutique Physiotherapy practice located at Garran Shops. We have 6 highly skilled physiotherapists ready to help you to Accelerate your Potential.

","Unit 9, 2 Garran Place"
OnSon Thai Massage & Day Spa,Gungahlin,Personal care,"OnSon Thai Massage & Day Spa is Canberra's Premium 5 STAR Rated Day Spa, offering Massage Treatments from Traditional Thai to Remedial repair therapy and Spa Treatments including, Facials & Body Scrubs. We have private shower onsite for your convenience. Very Professional & caring staff.","133, 10 Hinder street"
Braddon Licensed Post Office & Newsagency,Braddon,Retail,"newspaper, greeting cards, gifting, books and postal product for the locals",2/18 Lonsdale street
The Healthy Eating Clinic - Harrison,Harrison,Personal care,"Canberra's premier collective of university qualified nutritionists and dietitians who provide individualised nutrition advice, guidance and support for a range of health issues and concerns.",83/170 Flemington Road
KillingPrints,Farrer,Retail,"A solo owned 3D printing service aiming to bring affordable resin prints to the home. Provide a .stl file and I will produce a quote. PayPal only. Despite the name, I DO NOT print physical weapons! Only models.",Potts Place
supersweet pastry,Isaacs,Food and drinks,Supersweet Pastry is a Creative Pastry and Desserts shop. We offer Mille crepe cake and pastry everyday.,shop3 6 Farr Pl
SOULution Yoga,Braddon,Personal care,"With options available for all levels, ages & physical abilities, our passion lies in providing movement for every body. We offer the highest number of classes including a diverse range of Yoga, Pilates, Barre, & meditation classes as well as private tuition at two convenient locations in Canberra.",71/30 Lonsdale Street
Edglit,Watson,Retail,"NEW INNOVATION for gardens and landscapes.
Edglit™ is a patented design led garden edging system.

Create engaging spaces in your garden with an easy to install garden edging system.

Edglit™ combines edging and lighting functions in a simple solution.

Edglit™ is a modular integrated garden edge lighting system that provides an easy solution to lighting and edged landscaped spaces.",Watson
Embrace Pilates And Fitness Pty Ltd,Belconnen,Personal care,"Embrace Pilates and Fitness is a friendly, Community minded fitness business. We specialize in group reformer Pilates, small group fitness classes and Personal training. All fitness levels and abilities welcome.
Our introductory special is only $49 for 2 weeks of unlimited classes.","Unit 10/114, Emu Bank"
Muay U,Fyshwick,Things to do,"Muay U Canberra is Canberra's home of Muay Thai with programs for the absolute beginner through to professional fighter. Whether to learn a new martial art, improve your fitness, lose weight, get stronger or step in the ring, we have something for you!","Level 1, 134 Gladstone Street"
Nucy Thai Massage,Harrison,Retail,"Nucy Thai Massage provide remedial massage, Relaxation Massage, Deep Tissue Massage. We are provide Facial and Body Treatment also include HIFU and EmSculpt Pro burn fat and building muscle.",12 Cultivation St
Reload Bar and Games,Canberra,Food and drinks,"Reload Bar & Games is built on the love of games, drinks, good food and good times. At Reload you can play all sorts of video, card and board games with your friends, work through our themed cocktail menu, enjoy burgers, chips and wings, and hit the dance floor in style - all in one place.",38 Northbourne Avenue
Olympian Games,Wanniassa,Retail,"Historical strategy game supplies: miniatures, models, board games, rulebooks, bases, paints, and accessories. (open during week by appointment)",43 Fincham Cres
Nunie,Yarralumla,Retail,"We are a team of fashion lovers! We believe in great fashion with a point of difference and love dressing our clients that share a passion for great quality clothing.

We also specialise in unique and colourful giftware, stocking brands such as ANNA CHANDLER & MICHEL DESIGNS.",1/29 Bentham St
Beautying,Canberra,Personal care,"Beautying Clinic offers high quality Nails, eyelashes extensions and facials. Appointments only.",39 London Cct
bamiyan,Braddon,Food and drinks,AFGHAN RESTAURANT,62/10 lonsdale st
La Baguette by R&M,Acton,Food and drinks,"A little French bakery & café hidden away in the ANU School of Art & Design. Absolutely everything is made on site from scratch! Pastries, tarts, bread, croque monsieurs & a different plat du jour every day. You will find good, simple French & Mediterranean food here made using traditional methods.","Building 105 Ellery Cres, ANU School of Art and Design"
Bruce Takeaway,Bruce,Food and drinks,Local Takeaway / Dine in offering Western and Asian Cuisine,123/10 Thynne Street
COURTYARD BY MILKCRATE,City,Food and drinks,"Specialty coffee, fresh produce, family recipes, Mediterranean influence.
Courtyard by Milkcate is a café restaurant situated in the heart of Canberra CBD with a Hamptons-style look and feel. The cafe is casual and cosy with great open space both inside and out.","Ground floor, 14 Moore street"
CoCo Fresh Tea & Juice,Canberra,Food and drinks,CoCo Fresh Tea and Juice Canberra is excited to join over 4500 stores globally to bring amazing beverages to the drink lovers in ACT.,Shop1/180 CITY WALK
Foundation Beauty Therapy,Lyneham,Retail,"Foundation Beauty is a beauty salon where focus is YOU.
We offer services like Waxing, Threading, Lash Extensions, Henna Brows, Microblading, Eyebrow Tattoo, Bio Sculpture Nails, Sns Nails, Body treatments and Wraps, Facials, Skin Needling, Microdermabrasion and Skin Peels.","unit 1/72, Wattle Street"
Ciao cafe and cakes Braddon,Braddon,Food and drinks,"Ciao cafe and cakes Braddonis the sister concern of Ciao cafe and cakes Queanbeyan .
We are open 7 days from 6 :30 Am till late serving Breakfast lunch all day and at 12 our Gourmet Pizza menu kicks in as well.
We also bake cakes and pastries and coffee is available all day",12/33 MORT street
2 Yummy,Belconnen,Food and drinks,take away food and restaurant,114 Emu Bank St
The Mustang Nepalese Restaurant & Bar,Farrer,Food and drinks,"Established in 2017 and tucked away in a quite southern suburb of Canberra, The Mustang is quickly becoming a place to dine,from authentic Nepalese dishes such as Thali Set (Daal-Bhat), MO:MO:s (Nepalese Dumplings), Chicken Chilli, Chicken Choila etc",4 Farrer Pl
The Durham Castle Arms,Kingston,Food and drinks,"Situated in Canberra's oldest commercial hub, Green Square Kingston ACT, the Durham Castle Arms Pub has proudly supported the local community for over a quarter of a century

Purveyors of the finest draught beer, wine & liquor, we pride ourselves on delivering the most definitive pub experience.",52-54 Jardine St
Caffe Luxxe Espresso,Greenway,Food and drinks,"Local modern cafe serving fresh local cakes, food and coffee.","Shop G58, South Point Shopping Centre"
Gelato Messina - Braddon,Braddon,Food and drinks,"At Gelato Messina our job is to make people happy.
Our cabinets are stocked with 40 freshly churned flavours, made from the very best, real ingredients.
Every week, there are 5 new 'specials', plus we make weird and wonderful gelato cakes!",Shop 4/21 Lonsdale st
Canberra Caravan & 4x4 Centre,Fyshwick,Retail,"Canberra Caravan and 4x4 Centre stocks and supplies a diverse range of automotive products including the Ironman 4x4 range to make us your one-stop adventure shop for all things caravans, trailers and 4x4.

Caravan parts and accessories, trailer parts, brand new trailers and all things Ironman 4x4",39 - 41 Kembla Street
Tools By Hollie,Harrison,Things to do,"Immortalize yourself and your family with a 3D full body scan.
In less than a second your exact likeness will be captured and then processed into a 3D image with feakin' awesome detail.

Come in Cosplay or ever day wear to create figurines for gifts or Christmas ornaments.

Call to book a time.",158/22 Kings Canyon Street
Whale tea,Canberra,Food and drinks,Bubble tea&cake&coffee&sandwich,260 City Walk
Wokitup gungahlin,Gungahlin,Food and drinks,Wokitup! is a casual Asian Noodle Bar that specialises in preparing and cooking tasty & healthy noodle meals that are created by the customer,"SHOP 4 46 Hibberson Street, Shop name Wokitup"
Nosh,Canberra,Food and drinks,"Popular Japanese-fusion casual dining spot with great vibes.
Nosh is inspired by their passion to pursue the pure pleasures of food. Handcrafted creations using the finest, fresh, locally-sourced and seasonal produce that hits the spot, every time.",FG07B 148 Bunda Street
Passiontree Velvet,Canberra,Food and drinks,"Passiontree Velvet, inspired by the traditional tea houses of England and fine European patisseries offers a modern day twist to a world of edible luxury. Passiontree Velvet offers a delectable selection of celebration cakes",148 bunda street
EBEST CANBERRA,Fyshwick,Retail,EBEST CANBERRA is an online shop focusing servicing Canberra residents.,UNIT 3 143 Gladstone St
The Pop Inn by Wine Bar Co,Fyshwick,Food and drinks,"A vibrant and welcoming pop-up bar for visitors to enjoy quality wine and great hospitality whilst relaxing in the beautiful parks, lakes and green places around Canberra.","Unit 3, 56-58 Kembla Street"
The Stitching Room,Phillip,Retail,"Join us at the Stitching Room for a range of sewing, knitting and embroidery classes in our beautiful custom built space. Day and evening class times available.

We also stock a beautiful hand selected range of fabrics, yarn and haberdashery for all your stitching needs.",53 Colbee Court
Zehni’s Turkish Kitchen,Gungahlin,Food and drinks,"Zehnis Turkish Kitchen is serving classics and pizza served in smart, open setting with indoor plants and relax vibe.",100 Gungahlin Place
