name,suburb,category,description,address,lng,lat,value,vouchers
coolbuy,Campbell,Food and drinks,Coolbuy is your everyday asian supermarket. We deliver safely to your door so you spend less time shopping ~,"Unit G28, 6 Provan St",149.1438714,-35.2887474,10150,283
Corner Drinks,Canberra,Food and drinks,"This is a unique cafe with coffee, bubble milk tea and cakes in city center. Our fruity and frappe are warmly welcomed by lots of customers. Iced bubble coffee is our proud of sale. We are more than happy to satisfy every customer!
",197 London circuit,149.1321174,-35.2815698,40,4
Cosmo Hair & Beauty,Dickson,Personal care,,"4/20 Challis St, Dickson ACT 2602",149.1358418,-35.2496307,690,15
COURTYARD BY MILKCRATE,City,Food and drinks,"Specialty coffee, fresh produce, family recipes, Mediterranean influence.
Courtyard by Milkcate is a café restaurant situated in the heart of Canberra CBD with a Hamptons-style look and feel. The cafe is casual and cosy with great open space both inside and out.","Ground floor, 14 Moore street",149.128557,-35.276344,300,8
CRAFT ACT: CRAFT AND DESIGN CENTRE,Canberra,Retail,"Craft ACT: Craft and Design Centre is a not-for-profit membership based organisation which supports artists, craft practitioners, designers and makers at every stage of their careers. Celebrating excellence and innovation in contemporary craft, through our our retail space and exhibition program.",180 London Cct,149.1308614,-35.2805169,720,15
Crafty Frog,Kambah,Retail,"Established in 1999 Crafty Frog is a much loved destination for Crafters of all ages and abilities. Catering for Knitters, Crocheters, Embroiderers, Spinners, Weavers. Our newest addition is Patchwork/Quilting fabrics and notions. Friendly service, free parking at the front door.",Shop 4/107 Marconi Crescent,149.0662155,-35.3791389,5630,139
CRUST ERINDALE,Wanniassa,Food and drinks,Best Gourmet Pizza in Town.,9B/20 Gratside Street,149.0994798,-35.4058291,320,17
CSIRO Discovery Cafe,Black Mountain,Food and drinks,"Situated in the Discovery Center on the base of Black Mountain opposite ANU, it is a great place to relax and enjoy the glasshouse like feel of the building with views across Acton and up to Mount Ainslie.
Discovery Café also provides CATERING for conferences, meetings and events on the CSIRO site","CSIRO Discovery Center, Clunies Ross street",149.115243,-35.2732675,240,11
Cup of Joy,Belconnen,Food and drinks,Cup of Joy is a daily necessity for local coffee addicts who work and live nearby. A place to escape the daily stresses of life and a comfortable place to meet family and friends.,Shop 112a Westfield Belconnen,149.0650422,-35.2380765,130,7
Cuptain Planet,Watson,Retail,Cuptain Planet is a small business based in Canberra. Our cups are made by our hands. We use durable ceramic clay which is a strong material and doesn't cost the earth. Our vision is to preserve our planet for future generations. Running a sustainable business is part of our ethos.,26 Kerferd St,149.1564313,-35.2353563,2910,69
Curves Belconnen,Jamison Centre,Personal care,"Strengthening Women in a supportive, community environment. We offer a 30 minute strength-based circuit training with a variety of specialty classes.
We have a coach on the circuit at ALL times. We include monthly coaching sessions and also offer at home workout options",8 Bowman Street (Next to Post Office),149.0721892,-35.2528302,50,1
Curves Gungahlin,Harrison,Personal care,"At Curves, we're strengthening women inside and out! Our 30 minute workout is specially designed for women and our hydraulic machines combine cardiovascular and strength training. You workout in a safe and supportive environment.",70 Nullarbor Ave,149.149657,-35.2012318,20,1
Curves Weston,Weston,Personal care,"Women only gym - we offer a fun, fast, effective workout for women of all ages, shapes and sizes. Non-judgemental, supportive environment. With a Coach on the circuit at ALL times to motivate, compel, and keep you working out safely. You won't regret joining Curves Weston","Upstairs, Cooleman Court Shopping Centre",149.0526436,-35.3412617,430,12
DAANA,Curtin,Food and drinks,"A harmonious blend of traditional Indian cuisine and native Australian ingredients awaits diners at Canberra's only National award-winning Indian restaurant, Daana. Inspired by recipes handed down through generations, this family-owned restaurant offers one of the top dining experiences in Canberra.",83 Theodore Street,149.0801637,-35.3331795,860,19
Daily market,Canberra,Retail,"Daily Market is a well set-up mini-market to service domestic and international students and staff at ANU, as well as the surrounding urban centres.","Daily Market KAMBRI，Shop156-B1 Joplin Lane ,Acton, ACT 2601",149.1202111,-35.2774536,4080,148
Daily Market City & Gungahlin,Canberra,Retail,"Daily Market is an Asian grocery shop. We offer a wide range of Asian groceries including fresh food, snack, noodle, seasoning and drink. We open 7 days per week.

Shop 5, 35 Childers Street Canberra Act 2601.

137/43 Hibberson St, Gungahlin ACT 2912.","Shop 5, 35 Childers Street, City 2601",149.1252642,-35.2766469,67700,1918
DaMingle,Gungahlin,Food and drinks,"Coffee, breakfast, got food, cakes, desserts, beverage, coffee beens","Shop10, 46 Hibberson street",149.1359757,-35.1863719,1780,60
Dash Jolimont,Canberra,Food and drinks,"Café which provide various coffee, tea and Chai, also provide ice cold drink such as milk shake, ice coffee etc. Also serve hot food such as hamburgers, chips, sandwiches, toast etc.",Shop G4 65 Northbourne Ave.,149.1288859,-35.2776503,110,7
Deakin IGA Supermarket,Deakin,Retail,Open 7:30am-8pm,25-27 Hopetoun Circuit,149.1080492,-35.315011,8720,253
Debacle,Braddon,Food and drinks,International Bar & Grill,137/24 Lonsdale Street,149.1332414,-35.2726992,290,11
Deco Hotel,Braddon,Food and drinks,"Feel relaxed by the casual elegance of Restaurant Two14, Deco Hotel's Italian influence onsite amongst the modern interior of warm, neutral tones.
","214 Northbourne Avenue, Braddon ACT",149.1324313,-35.2632119,410,12
Dee's Book and Comic Shop,Belconnen,Retail,"Canberra's original comic book store, Dee's Comics is a family owned business that has been serving the comic reading and collecting community for over 30 years. We really really love comics! We stock a wide range of Australian and International comics, graphic novels and collectables.","Shop 1, 34-42 Cohen St",149.0630036,-35.2395443,2740,65
Deji Asian Supermarket,Dickson,Retail,"Wide range of Asian products collections. Noodles, Rice, condiments, flour, snacks etc.
Open 7 days.
Locally delivery available.
",15 woolley st.,149.1363799,-35.2506612,44850,1286
Delhi to Canberra Indian Resturant,Melba,Food and drinks,"Fine dine Indian Resturant, fully licensed with BYO options. Restaurant has a lots of options for vegetarians, gluten free and dairy free and customers with other dietary restrictions.",12 chinner crescent,149.0487152,-35.2085595,1460,38
Dendy Cinemas Canberra,Canberra,Food and drinks,"Located within the iconic Canberra Centre North Quarter, Dendy Canberra offers you a world-class cinema experience.

There’s more to love at Dendy Canberra – we’ve got fifteen screens, including two Premium making us the biggest cinema in the ACT and the home of quality cinema.","Level 2 North Quarter, 584 Bunda St",149.132719,-35.2769416,6560,236
Desi Bazzar,Gungahlin,Food and drinks,Indian grocery store,56/138 ernest cavanagh street,149.136488,-35.1848047,19070,447
Designer Op Shop Emporium,Fyshwick,Food and drinks,"DOS Emporium is Canberra’s leading pre-loved, vintage & modern shopping destination. With an exclusive group of small businesses selling vintage & retro collectables, pre-loved designer fashion, modern interiors, luxury consignment and so much more including a boutique cafe, Emporium Espresso.",1 Lyell Street Fyshwick,149.1729423,-35.3287887,670,19
designher beauty,Charnwood,Personal care,"Our boutique beauty studio is an inclusive, relaxing and private space where you can unwind and be taken care of.

Our menu caters for a wide range of beauty treatments with a special focus on treating skin concerns and eyebrow styling.

Appointments avalible outside trade hours on requests.
","7/55 charnwood place, fadco building",149.0341032,-35.2045858,40,2
DeWok Noodle Bar,Belconnen,Food and drinks,"Chinese and asian restaurant serving order to cook rice, noodle and soup dishes. Dine in and take away welcome.","Shop 213, Benjamin Way",149.0673342,-35.2381662,800,34
Dhaka cafe and Indian restaurant,Belconnen,Food and drinks,"Offering authentic Bangladeshi and Indian cuisine in the heart of Belconnen. This family owned business offers some of the best traditional dishes including a range of Biryanis, grilled chicken, subcontinental curries, flat bread baked in clay tandoor oven and a wide variety of Bangladeshi desserts.",6/66 Josephson Street,149.0608996,-35.23873548,450,14
Dickson Dumpling House,Dickson,Food and drinks,Best Dumplings in town !!!,77/2 Cape Street,149.1363642,-35.2513631,2900,95
Die Schlachtschule,Aranda,Things to do,"""Die Schlachtschule"" or ""The School of Battle,"" is a group dedicated to the study and teaching of the martial arts of medieval Europe. We use the surviving medieval fencing manuals, or fechtbücher, to try to learn the ways of combat practiced by medieval knights.
",Aranda Primary School,149.0794239,-35.2551738,400,8
Dilkara Australia,Bonner,Personal care,,"1 Eumarrah St, Bonner ACT 2914",149.1372231,-35.16408129,350,7
Discount grocery store,Phillip,Retail,"We are providing south asian groceries, fresh meat and vegetables.",2/32 dundas ct,149.0871925,-35.3541011,6770,146
DISCOUNT HUT,Macquarie,Retail,"As a small local family business, we see ourselves as part of our community. We not only provide fun, useful and exciting products; but we do this while creating a place for community connection. We care and that's why we are not just a $2 shop! That's why we are the best discount store in town!",1/3 Jamison Centre,149.0720641,-35.2529636,550,28
Dobinsons Bakery,Canberra,Food and drinks,"Dobinsons offers a wide variety of baked products, both sweet and savoury. Our city store also has a breakfast and lunch menu.",177 bunda st,149.133948,-35.279788,600,48
Dollar Choice,Amaroo,Retail,"Variety Discount shop in Amaroo. Including cards,gift,homeware,pet,hardware,kitchen,glass,homeware decoration ect..","Marquee Comm4, 12 Pioneer St",149.1319722,-35.164947,250,12
Donut King Canberra DFO,Fyshwick,Food and drinks,Treat yourself with sweet.,"Shop F312, Canberra Outlet Centre, 337 Canberra Ave",149.1784548,-35.3366664,150,9
Donut King Gungahlin,Gungahlin,Food and drinks,Locates in front of Coles Gungahlin. We offer the freshest donuts every day.,"kiosk 1, Gungahlin Village",149.1367644,-35.1868916,190,18
DR PRINT & SIGN,Mitchell,Things to do,"DR Print & Sign Pty Ltd is a local printing and signage company. It is reorganised and expanded from original business DR Print which was established 1996. From visual design to offset, digital, big format printing and sign making. It provides Canberran with cheap & high-quality printing services.","Unit 1, 173 Flemington Road",149.1448067,-35.2171937,610,15
Drummond Golf Fyshwick,Fyshwick,Retail,Drummond Golf Fyshwick is a 100% locally owned & operated business. We pride ourselves on offering the widest range of golf products in the Canberra region at the most competitive prices. We specialize in custom fitting golf clubs within our state of the art simulators.,16 Goolwa Place Fyshwick ACT,149.1749615,-35.3216316,3750,81
Dumpling King Canberra City,Canberra,Food and drinks,Northern Chinese cuisine specialize in dumplings and noodles.,2/5 Garema Place,149.1315115,-35.2784178,590,22
Dumpling Social,Phillip,Food and drinks,Beautiful fusion restaurant with authentic Asian flavors and enticing drink menu.,9 Bradley street,149.0874825,-35.346542,2850,89
Dymocks Belconnen,Belconnen,Retail,Dymocks Belconnen has been a family owned and operated business located at the Belconnen mall for over 25 Years. Come and discover more in Canberra's favourite bookstore.,Shop 175 Westfield,149.0650422,-35.2380765,6930,220
Dymocks Canberra,Canberra,Retail,"With over 30 years in Canberra, this locally-owned Dymocks franchise is recognised as Canberra’s favourite bookstore, offering a huge range of books and gifts. The store's location in the lower ground area (adjacent to David Jones) in the Canberra Centre.","CL17 Canberra Centre, Bunda Street",149.1332559,-35.2802271,10160,286
EasiMart Kingston,Kingston,Retail,Easimart is a grocery supermarket located in Kingston.,159/ 45 Eastlake Parade,149.1471622,-35.3139653,13600,548
EasliyManaged Fitness Pty Ltd,Wanniassa,Personal care,"Curves is a gym specially designed for women with a complete 30-minute workout. We always have a coach on the circuit to assist in guidance and technique. In addition, we offer yoga, dance & cardio exercises that cater for all age groups and courses that focus on pelvic floor, balance, and stress.",25 Sangster Place,149.085496,-35.3911923,100,2
East Row Specialty Coffee,Canberra,Food and drinks,"New kid on the block of East Row!
Serving ONA coffee and delicious brunch!
We are open 7 Days a week
check out our Instagram and facebook for more info and pics!
Bookings available at https://cutt.ly/east-row-specialty-coffee
",U2 7 East Row,149.1303094,-35.2794628,700,42
EasyWay Belconnen,Belconnen,Food and drinks,"Bubble Tea Shop. Serving bubble tea, shake, smoothie and frappe.",K316 Level 3 Food Court Westfield,149.0650422,-35.2380765,810,34
EBEST CANBERRA,Fyshwick,Retail,EBEST CANBERRA is an online shop focusing servicing Canberra residents.,UNIT 3 143 Gladstone St,149.1829936,-35.3240087,23720,621
Edgars Inn,Ainslie,Food and drinks,Edgar’s is a second home to many Ainslie locals and one of Canberra’s best-kept secrets away from the bustling CBD.,1 Edgar St,149.1450626,-35.2625333,1120,46
Edglit,Watson,Retail,"NEW INNOVATION for gardens and landscapes.
Edglit™ is a patented design led garden edging system.

Create engaging spaces in your garden with an easy to install garden edging system.

Edglit™ combines edging and lighting functions in a simple solution.

Edglit™ is a modular integrated garden edge lighting system that provides an easy solution to lighting and edged landscaped spaces.",Watson,149.153333,-35.238333,50,1
EightyTwenty Food,Braddon,Food and drinks,"Here at 80/20, we believe in food as fuel and that absolutely everybody benefits from clean, natural and unprocessed whole foods.


We endeavor to serve you real, healthy, honest and delicious meals as well as nutrient packed smoothies, homemade raw desserts and damn good coffee.",1 18 Lonsdale Street,149.1329893,-35.2735623,710,38
Elaine's Gourmet Pies,Fyshwick,Food and drinks,"Tasty variety of pies, sausage rolls and other pastries. Coffee, tea and hot chocolate.",unit1/57 Wollongong St,149.1794161,-35.3242757,310,14
Elegant Image Day Spa Medi Spa,Greenway,Retail,"You can depend on our 30+ Years of experience..

For over 30 years we at Elegant Image have provided advanced skin care to an extensive client base from our Skin Body & Day Spa Centres located in Tuggeranong.
","Shop 14, Four Seasons House, 191 - 203 Anketell St",149.0681013,-35.4158492,440,12
Elemental Cafe,Braddon,Food and drinks,"Elemental Cafe has a unique atmosphere where customers can socialise with each other in a comfortable relaxing environment.
We offer the best food & coffee in Braddon & a loyalty card for the repeat service as well as free daily newspaper to enjoy your visit or use our free ultra-fast Wifi",30 Lonsdale St,149.1332839,-35.2719323,330,15
Elite Meats,Holt,Retail,An old school carcass butcher shop of the highest possible quality.,"Shop 12 Kippax fair, Hardwick crescent",149.0193863,-35.2218013,3390,82
Emart,Canberra,Retail,Asian Supermarket,15/45 West Row,149.1271158,-35.2787029,15500,460
Emma Strapps Shiatsu,Cook,Personal care,"Shiatsu is a relaxing and invigorating way to reconnect with your body.
It is therapeutic acupressure/massage that utilises acu-points, energy channels (meridian therapy) and stretches to stimulate the circulation of energy through the body. It is done fully clothed on a futon on the floor.","Shop 2, Cook Place",149.063756,-35.2590383,120,3
Empreus I.T Support,Fyshwick,Retail,"Our mission is to enable your success by empowering you with effortless IT.
Whatever you do, no matter how small or large your organisation – you deserve:",19/63 wollongong st,149.1787287,-35.3238793,50,1
Enliven Infrared Saunas Pty Ltd,Phillip,Personal care,"Enliven Infrared Saunas is Canberra's first and only dedicated infrared sauna studio. We believe that wellness is the key to living life to its fullest.
Work demands and stresses can impact our ability to find balance and happiness in our lives. Our aim is to help you restore your mind and body.",3/61 Dundas Court,149.0897016,-35.354286,140,4
EQ Cafe and Lounge,Deakin,Food and drinks,EQ Cafe and Lounge,70 Kent Street,149.0973932,-35.320475,570,22
Escape Rooms Canberra,Phillip,Things to do,"Escape Rooms Canberra is CBR's favourite Escape Room destination. With 2 exciting rooms and a speakeasy bar out the back, where else would you rather escape to?",2/22 Dundas Court,149.0877217,-35.3539751,1330,34
Event Corner,Gungahlin,Retail,,"G11/48 Gungahlin Pl, Gungahlin ACT 2912",149.1353419,-35.18239551,1650,33
"Express Travel Services Pty Ltd.,",Nicholls,Accommodation,"Airticket, hotel accommodations",56 Lexcen Avenue,149.1024268,-35.1889037,2900,62
Fairy Legends,Moncrieff,Accommodation,"Eyebrows tint or Eyebrows Threading are complimentary with any type of lashes
So Hurry-up Limited offer
Highly recommended by the Customers
Certified and Qualified Lash Artist
Classic Lashes , mega Volume Lashes , Medium Volume Lashes ,Infills,Lash Tint, lash lift
Lash Removals
DM FOR BOOKINGS 0435012463",10 Mottram Street,149.102169,-35.1501787,920,20
Farmshop Cafe,Pialligo,Food and drinks,"Join us at the Farm Shop Café for breakfast, brunch and lunch from 8.30am - 3pm Wednesday to Sunday for beautiful, seasonal menus.
Our Café stocks a broad range of our award-winning Pialligo Estate Smokehouse products, plus cheeses, sweet treats, snacks, wine and more.",12 Beltana Road,149.1802193,-35.3067972,210,11
Fat goanna cafe,Canberra Airport,Food and drinks,"We are the hospitality Cafe, With liquor license to do the breakfast and lunch",1/23 Brindabella business park,149.1873772,-35.311488,360,21
Fernwood Fitness Gungahlin,Gungahlin,Things to do,"Women’s only gym. Recently renovated. Services include:
- creche
- personal training
- small group training
- group fitness classes
- open 5am to midnight/ 7 days a week",30 Hibberson Street,149.1337286,-35.1854625,460,11
Fernwood Fitness Tuggeranong,Tuggeranong,Personal care,"female only gym, offers personal training, small group training, creche, group fitness, mum and bub classes, exercise physiologist, spin cycle, nutrition coaching and lots more NDIS approved",184 Soward way,149.067559,-35.4189373,170,5
FishCo Fish Market,Fyshwick,Retail,"FishCo Fish Market offers the best variety of FRESH fish and seafood in the ACT. Whole fish, fillets, smoked fish and seafood; Snapper, Salmon, Ling, Cod, Squid, Prawns, Mussels, Oyster & More! PLUS fruit & veg, dairy, sauces, bread and sweets for your convenience. Follow us on Facebook! Eat fish!",19 Dalby St,149.1541652,-35.322675,2760,71
Flavours of Jiangnan,Dickson,Food and drinks,"We are a family owned restaurant, which specialises in Jiangnan Flavour Cuisine. Jiangnan is at the eastern part of China and it includes Suzhou, Hangzhou and Shanghai area. We focus on refresh ingredients, flavours and textures of each dish that we cook. Handmade noodles & dumplings are popular.",G6/8 Cape Street,149.1376109,-35.2516275,630,22
Flourish Yoga,Braddon,Personal care,"Flourish Yoga is a small studio in Braddon offering vinyasa (active and flowing) yoga. We aim to make yoga accessible for everyone by adjusting poses to suit your body. We also offer beginners, prenatal and postnatal classes.",62/28 Mort St,149.131661,-35.274559,450,9
Flow Yoga Canberra,Fyshwick,Personal care,"Join us at our beautiful new Flow Yoga studio at Dairy Road for slow flow, dynamic flow, yin yoga and restorative yoga classes. Our classes are suitable for beginners, intermediate and advanced yogis. We also offer kids yoga, baby yoga, private classes, workshops, retreats, massage and studio hire.","Studio 9, Building 3, 1 Dairy Road",149.1633405,-35.3168456,280,8
Folks Gallery,Dickson,Food and drinks,"The café will serve gourmet coffees, espresso and drip coffee, lattes, and smoothies. The simple pastry offerings may vary with seasonality but the primary line will be muffins, breads, cookies, scones, and rolls. All pastries will be supplied daily by a local bakery.","Ground Floor, 239/6 Cape Street",149.1370319,-35.2515734,1210,45
Foodworks Forde,Forde,Retail,Small Independent supermarket in Forde,5/26 Francis Forde Boulevard,149.1426139,-35.1715314,470,17
Foodworks Holder ACT,Holder,Food and drinks,Supermarket,3/40 holder place,149.0441674,-35.3366446,840,31
Fook Lee Sheng Chinese Take Away,Fraser,Food and drinks,Fook Lee Sheng Chinese Take Away is a takeaway place that serves Chinese cuisine. It is family owned and operated.,"Shop 2, 4-8 Daley Cres",149.0435938,-35.192986,80,4
Forrest Hotel and Apartments,Canberra,Accommodation,"Forrest Hotel and Apartments is located minutes from Manuka village and close to Parliament House.
We have 40 serviced Apartments with a lovely landscaped courtyard and B-B-Q area, 76 Hotel rooms, a conference facility overlooking parkland.
""We look forward to welcoming you to Forrest soon. """,30 NATIONAL CIRCUIT FORREST,149.1279859,-35.3156219,130,4
Fortune Box,Gungahlin,Food and drinks,Chinese Food,114/43 Hibberson St,149.1359097,-35.1854307,5650,180
Foundation Beauty Therapy,Lyneham,Retail,"Foundation Beauty is a beauty salon where focus is YOU.
We offer services like Waxing, Threading, Lash Extensions, Henna Brows, Microblading, Eyebrow Tattoo, Bio Sculpture Nails, Sns Nails, Body treatments and Wraps, Facials, Skin Needling, Microdermabrasion and Skin Peels.","unit 1/72, Wattle Street",149.12513,-35.252789,410,12
FRAWLEYS,Canberra,Retail,"FOOTWEAR RETAIL WOMEN'S AND MEN'S
COMFORT FOOTWEAR FOR ALL SEASONS",26 GAREMA PLACE,149.1323189,-35.2784834,1490,31
Fresco Seafood,Franklin,Food and drinks,"We offer premium fresh local fish, fresh local prawns, fresh local oysters as well as specializing in live seafood such as fish, lobsters, crab and abalones.

We also have a small cafe that cook you fresh fish and chips using only the premium seafood.","Shop 133 241 Flemington Rd, Ivy Apartments",149.1485299,-35.2005454,23510,723
Fresh Seafood Canberra,Casey,Retail,Fresh Seafood,"19/15 Kingsland Parade, Casey, ACT",149.0953865,-35.1743655,3610,97
Freshii,Canberra,Food and drinks,"Freshii is a Canadian fast casual restaurant franchise that serves healthy burritos, wraps, soups, salads, and frozen yogurt. We also do coffee, cakes and other deli grab and go food items.","Shop 189/260 Highgate, City Walk",149.1333772,-35.2822087,20,2
Fricken,Braddon,Food and drinks,"Local, family-owned chicken joint, bringing you our family's secret recipe fried chicken served up in our signature burgers & boxes. Started in a food truck, now serving up the goods to you from Canberra's food capital Lonsdale St, Braddon.","10 Lonsdale st, T58",149.1328465,-35.2745136,1320,58
Frugii Dessert Laboratory,Braddon,Food and drinks,"Selection of Handmade
Ice Cream / Gelato / Sorbets
Cakes
Ice Cream Sticks",SHOP 57,149.1326108,-35.2719619,1660,116
Functional Fitness,Mitchell,Personal care,Humans are built to adapt. Unfortunately that means we can also learn bad habits. Our training system addresses your movement patterns and encourages a return to what is natural and efficient. We believe a healthy body and mind has a balance of working out and working in.,Unit 1A 67/71 Vicars street,149.1399645,-35.210358,430,11
Gametraders Hyperdome ACT,Tuggeranong,Retail,"Gametraders is a locally owned small business that has been owned for 16 years in the same location. We specialise in the sale of Funko Pop! vinyls, Pokemon trading cards, board games and other collectable items.","Tuggeranong South.Point , Shop 169 Corner Anketell and Reed Sts",149.0665317,-35.4167822,3850,109
Gami Chicken And Beer Canberra,City,Food and drinks,"“Korean-style fried chicken and craft beer served in a casual atmosphere, best enjoyed with friends and family.”",FG07A 125 Bunda Street,149.1337175,-35.2794658,1910,74
garran kitchen,Garran,Food and drinks,Asian food,shop4 garran place,149.1081542,-35.3423222,640,21
Gelca Pty Ltd,Gungahlin,Personal care,"Just Cuts is a no appointment hairdressing salon offering STYLE CUTS for everyone. Our stylists are all fully qualified, we offer a seven day guarantee and we have our own professional styling products.",30-33 Hibberson Street,149.1340107,-35.1850405,120,9
Gentle Nails,Canberra,Personal care,,"70 Bunda St, Canberra ACT 2601",149.1321813,-35.277888,70,4
Gina Kingston,Amaroo,Personal care,"Gina Kingston is a personal stylist who specialises in people with health issues or disabilities. Gina offers colour consultations, wardrobe maintenance, personal shopping for ready to wear and adaptive clothing, and 1/2 tip sessions - in person or online. Because we still want to look stylish.",1 Comet St,149.130854,-35.1722103,70,3
Ginger and Spice,Gungahlin,Food and drinks,"Peking duck and dumpling are our signature dishes, strongly recommend 👍",110 hibberson street,149.1353025,-35.1853985,17030,499
Ginger Catering at NAC PTY LTD,Weston Creek,Food and drinks,"Ginger at The Arboretum offers contemporary Australian cuisine, with dishes simply prepared with care, to share. Our focus is on organic and biodynamic produce, heirloom meats, seasonal vegetables and",The National Arboretum Canberra,149.06927,-35.2878894,200,7
Gingerfinch,Fyshwick,Retail,"Call 6147 6740 or email hello@gingerfinch.com.au to redeem the CBR code at Gingerfinch!

Gingerfinch is an online destination for rare-find, sustainable, designer homewares. Shop for unique pieces for all corners of your home, or treat your loved ones to a truly special gift.
Free pickup from Fyshwick. Afterpay available.",5 Geelong Street,149.1672149,-35.3322199,580,13
Ginseng @ Hellenic,Phillip,Food and drinks,,Phillip ACT 2606,149.0868355,-35.34194664,70,2
Gloww Beauty,Gungahlin,Personal care,"At Gloww we specialise in waxing, spray tanning, facial and body treatments, eyelash extensions, tinting, manicures, and pedicures.

We invite you to come in and experience the Gloww treatment in a comfortable, hygienic and professional salon environment.","Level 1, 30 Hibberson Street (Marketplace Gungahlin)",149.1347762,-35.1846599,260,10
GoBoat Canberra,Kingston,Things to do,"GoBoat is Canberra's favourite picnic destination! We have twelve European-designed electric picnic boats that are safe, fun, and super-easy to drive - no boat licence required!

Pack a picnic, bring your crew of up to 8 people, and enjoy a relaxing time on the water, right here in Canberra.

PLEASE NOTE: Our online booking system will not recognise ChooseCBR vouchers, so please make your booking as normal and then bring your voucher with you for redemption at check-in. Alternatively you can visit us in Kingston to make your booking in person and we can apply your discount then.",8 Trevillian Quay,149.1467866,-35.311226,450,9
Golden Drum,Canberra,Food and drinks,Anthentic Chinese food.,"Shop 1, 14 Childers st",149.1244886,-35.2787102,9980,257
Gommy's Cafe,Mitchell,Food and drinks,"Coffee, Breakfast and Lunch in Mitchell",Unit 8C 160 Lysaght Street,149.1380832,-35.2143761,270,12
Gongcha Braddon,Braddon,Food and drinks,"""Gong cha” is the act of offering tea to the Emperor in ancient China.

Tea is offered as tribute to the Emperor. Tribute tea or Gong cha consumed by Chinese emperors is therefore of the best quality collected throughout the kingdom.

your satisfaction is our goal, by offering refre",45 Ainsle Avenue,149.1359974,-35.2787607,2300,76
Gongcha gungahlin pty ltd,Gungahlin,Food and drinks,"Founded in Kaoshiung, Taiwan (China SAR) in 2006, Gong cha is the fastest growing tea brand in Asia with over 1500 stores in over 20 regions worldwide, as well as being the first tea franchise to operate on a world-class luxury cruise liner, the Majestic Princess.",shop 14A/46 hibberson st,149.1360261,-35.1863683,990,84
Goodyear Autocare Gungahlin,Gungahlin,Retail,"Tyres & Mechanical Servicing

Brakes
Batteries
",1 O'Brien Place,149.125636,-35.1850835,1020,21
GOSSIP NAIL SALON,Canberra Airport,Personal care,"Welcome to Gossip Nail Salon, we offer a full range of services such as manicure and pedicure, acrylic, SNS and shellac nails, waxing and tinting, eyelash extension, eyelash lift.
We promise to provide you high-quality services and we treat you with courtesy and respect","Shop 10, Majura Park Shopping Center, 18-26 Spitfire Avenue",149.1903758,-35.3001906,840,23
Gourmet House Woden,Woden,Food and drinks,"We're passionate about bringing great food to the people of Woden and surrounds. With burgers, hot dogs, sides and crepes, we can cater to your tastes whether you want breakfast, lunch, dinner or dessert.","Shop 049c, Westfield Woden, Bradley St",149.0860576,-35.3463199,50,5
Grand Court Chinese Restaurant,Calwell,Food and drinks,Grand Court Chinese Restaurant is a very famous restaurant located in Calwell Shopping Center.,"Shop 2, 7 Webber Crescent",149.113427,-35.434322,390,15
Grappling Bros,Belconnen,Things to do,"Brazilian Jiu Jitsu, Judo and No-gi grappling in world-class facilities.
Self Defence, Anti Bullying Programs and Fitness for beginners to advanced students & competitors. Children, women, men, people with disabilities are welcome to our inclusive team.",17 Walder St,149.0610918,-35.2376816,150,3
Green Bamboo Vietnamese Restaurant,Mawson,Food and drinks,We are a small Family Restaurant in Swinger Hill shopping centre which is serving Vietnamese authentic food.,14/84 Ainsworth Street,149.0983469,-35.3552718,540,15
Green Bean on Moore,Canberra,Food and drinks,"LIFE BEGINS AFTER COFFEE
Yes, Green Bean on Moore cafe is a friendly local cafe at Moore St, serving great coffee, delicious food and pastries
Hope to see you soon!",17 Moore St,149.1279799,-35.2758978,2060,91
Green Tea En,Fyshwick,Food and drinks,"Japanese Cafe for lunches, Matcha and green tea products, Japanese flavours soft serve ice creams.",36 mildura street,149.1549571,-35.3241641,200,7
Greenaway Studio,Chapman,Retail,Classical and jazz music: from tuition to sheet music to audio (CDs etc.). Opening hours by appointment.,164 Namatjira Drive,149.0472136,-35.3595413,50,1
Growers Market Express,Belconnen,Retail,"We are Growers Market Express retailing fresh fruit, vegetable and specialty grocery and delicatessen products in Belconnen Fresh Food Market. All our staffs are very well trained and have depth knowledge in fruit and vegetable. We work with passion and serve customer with care.",1-2 Lathlain Street,149.0653636,-35.2458145,970,23
GUIFENG ZHOU,Fyshwick,Retail,"Welcome to our store in Fyshwick, we have a wide variety of warehouse items in stock and now they are on sale!",68 barrier street,149.1721347,-35.3281731,210,5
Gungahlin & Jamison Plaza Travel Associates,Macquarie,Accommodation,"OFFICE LOCATIONS:
Gungahlin Travel Associates - 02 62410355
Shop 22, The Marketplace Gungahlin
30 Hibberson Street, Gungahlin ACT 2912

Jamison Plaza Travel Associates - 02 61602049
Shop B06, Jamison Plaza, Bowman Street
Macquarie ACT 2614

",See details above,149.0709855,-35.2532181,19160,385
Gungahlin Centre News,Gungahlin,Retail,"newsagency sells newspapers, magazines,lotteries, snacks and greeting cards and giftware.","shop 16 Gungahlin Market Place, 33 Hibberson street",149.1347762,-35.1846599,1070,38
